Reason for Not Attending School/Region/Residence,M&F,Male,Female
"Population on Aged 6 to 24 Years Old (Total, in thousands)","39,978","20,491","19,487"
"# of Not Currently Attending (Total, in Thousands)","9,668","5,199","4,469"
Total %,100,100,100
Accessibility of School,0.7,0.8,0.6
Illness/ Disability,3.5,4,2.9
Pregnancy,1.6,,3.5
Marriage,15,7.8,23.4
High Cost of Education/ Financial Concern,11.9,14,9.5
Employment,22.2,26.4,17.3
Finished Schooling or Finished Post Secondary/ College,14.6,11.2,18.7
Looking for work,6.5,7.4,5.4
Lack of Personal Interest,7.8,11.6,3.3
Due TO Covid-19 pandemic community quarantine,9.6,10.3,8.7
Too young to go to school,,,
Bullying,0.3,0.5,
Family Matters ,5.9,5.4,6.5
Others,0.4,0.5,0.2
